company_name,mission_category,website,ats_type,ats_slug
Wikimedia Deutschland,eu_mission_tech,https://wikimedia.de,,
Ecosia,eu_mission_tech,https://www.ecosia.org,,
Electricity Maps,eu_mission_tech,https://www.electricitymaps.com,,
Open Climate Fix,eu_mission_tech,https://www.openclimatefix.org,,
Climate Policy Radar,eu_mission_tech,https://www.climatepolicyradar.org,,
Global Fishing Watch,eu_mission_tech,https://globalfishingwatch.org,,
Development Seed,eu_mission_tech,https://developmentseed.org,,
OCCRP,eu_mission_tech,https://www.occrp.org,,
CorrelAid,eu_mission_tech,https://www.correlaid.org,,
mySociety,eu_mission_tech,https://www.mysociety.org,,
Code for All,eu_mission_tech,https://codeforall.org,,
TransitionZero,eu_mission_tech,https://www.transitionzero.org,,
Ember,eu_mission_tech,https://ember-climate.org,,
GiveDirectly,eu_mission_tech,https://www.givedirectly.org,,
IDinsight,eu_mission_tech,https://www.idinsight.org,,
CarbonPlan,eu_mission_tech,https://carbonplan.org,,
Climate TRACE,eu_mission_tech,https://climatetrace.org,,
WattTime,eu_mission_tech,https://watttime.org,,
Tomorrow,eu_mission_tech,https://www.tmrow.com,,
Basecamp Research,eu_mission_tech,https://www.basecamp-research.com,,
Satellite Vu,eu_mission_tech,https://www.satellitevu.com,,
Orbio Earth,eu_mission_tech,https://www.orbio.earth,,
Sylvera,eu_mission_tech,https://www.sylvera.com,,
BeZero Carbon,eu_mission_tech,https://bezerocarbon.com,,
Watershed,eu_mission_tech,https://watershed.com,,
Normative,eu_mission_tech,https://normative.io,,
Sweep,eu_mission_tech,https://www.sweep.net,,
Cozero,eu_mission_tech,https://www.cozero.io,,
Plan A,eu_mission_tech,https://plana.earth,,
ClimatePartner,eu_mission_tech,https://www.climatepartner.com,,
South Pole,eu_mission_tech,https://www.southpole.com,,
Climate-KIC,eu_mission_tech,https://www.climate-kic.org,,
EIT Climate-KIC,eu_mission_tech,https://www.climate-kic.org,,
Open Knowledge Foundation,eu_mission_tech,https://okfn.org,,
Open Knowledge Germany,eu_mission_tech,https://okfn.de,,
AlgorithmWatch,eu_mission_tech,https://algorithmwatch.org,,
AlgorithmWatch CH,eu_mission_tech,https://algorithmwatch.ch,,
Tactical Tech,eu_mission_tech,https://tacticaltech.org,,
Privacy International,eu_mission_tech,https://privacyinternational.org,,
EDRi,eu_mission_tech,https://edri.org,,
Mozilla Foundation,eu_mission_tech,https://foundation.mozilla.org,,
Tor Project,eu_mission_tech,https://www.torproject.org,,
Signal Foundation,eu_mission_tech,https://signal.org,,
Internet Society,eu_mission_tech,https://www.internetsociety.org,,
Digital Public Goods Alliance,eu_mission_tech,https://digitalpublicgoods.net,,
GovTech Polska,eu_mission_tech,https://www.gov.pl,,
Code for Germany,eu_mission_tech,https://codefor.de,,
Code for Poland,eu_mission_tech,https://codeforpoland.org,,
Vizzuality,eu_mission_tech,https://www.vizzuality.com,,
Azavea,eu_mission_tech,https://www.azavea.com,,
Mapbox,eu_mission_tech,https://www.mapbox.com,,
HOT OpenStreetMap,eu_mission_tech,https://www.hotosm.org,,
Humanitarian OpenStreetMap Team,eu_mission_tech,https://www.hotosm.org,,
Missing Maps,eu_mission_tech,https://www.missingmaps.org,,
CartONG,eu_mission_tech,https://www.cartong.org,,
Flowminder,eu_mission_tech,https://www.flowminder.org,,
UN Global Pulse,eu_mission_tech,https://www.unglobalpulse.org,,
DataKind UK,eu_mission_tech,https://www.datakind.org,,
DataKind,eu_mission_tech,https://www.datakind.org,,
Bayes Impact,eu_mission_tech,https://www.bayesimpact.org,,
Driveresearch,eu_mission_tech,https://www.driveresearch.org,,
Centre for Humanitarian Data,eu_mission_tech,https://centre.humdata.org,,
HDX,eu_mission_tech,https://data.humdata.org,,
ReliefWeb,eu_mission_tech,https://reliefweb.int,,
ACAPS,eu_mission_tech,https://www.acaps.org,,
IMPACT Initiatives,eu_mission_tech,https://www.impact-initiatives.org,,
REACH Initiative,eu_mission_tech,https://www.reach-initiative.org,,
Ground Truth Solutions,eu_mission_tech,https://groundtruthsolutions.org,,
C4ADS,eu_mission_tech,https://c4ads.org,,
Bellingcat,eu_mission_tech,https://www.bellingcat.com,,
Forensic Architecture,eu_mission_tech,https://forensic-architecture.org,,
Amnesty International Tech,eu_mission_tech,https://www.amnesty.org,,
Human Rights Watch,eu_mission_tech,https://www.hrw.org,,
Access Now,eu_mission_tech,https://www.accessnow.org,,
Article 19,eu_mission_tech,https://www.article19.org,,
Reporters Without Borders,eu_mission_tech,https://rsf.org,,
Transparency International,eu_mission_tech,https://www.transparency.org,,
Global Witness,eu_mission_tech,https://www.globalwitness.org,,
ClientEarth,eu_mission_tech,https://www.clientearth.org,,
Carbon Brief,eu_mission_tech,https://www.carbonbrief.org,,
Energy and Climate Intelligence Unit,eu_mission_tech,https://eciu.net,,
Green Alliance,eu_mission_tech,https://green-alliance.org.uk,,
E3G,eu_mission_tech,https://www.e3g.org,,
Agora Energiewende,eu_mission_tech,https://www.agora-energiewende.de,,
Agora Industry,eu_mission_tech,https://www.agora-industry.org,,
Fraunhofer ISI,eu_mission_tech,https://www.isi.fraunhofer.de,,
IIASA,eu_mission_tech,https://iiasa.ac.at,,
Potsdam Institute for Climate Impact Research,eu_mission_tech,https://www.pik-potsdam.de,,
Climate Analytics,eu_mission_tech,https://climateanalytics.org,,
NewClimate Institute,eu_mission_tech,https://newclimate.org,,
Öko-Institut,eu_mission_tech,https://www.oeko.de,,
Wuppertal Institute,eu_mission_tech,https://wupperinst.org,,
RMI Europe,eu_mission_tech,https://rmi.org,,
Systemiq,eu_mission_tech,https://www.systemiq.earth,,
Material Economics,eu_mission_tech,https://materialeconomics.com,,
Circle Economy,eu_mission_tech,https://www.circle-economy.com,,
Ellen MacArthur Foundation,eu_mission_tech,https://ellenmacarthurfoundation.org,,
Fairphone,eu_mission_tech,https://www.fairphone.com,,
Too Good To Go,eu_mission_tech,https://www.toogoodtogo.com,,
Olio,eu_mission_tech,https://olioex.com,,
Karma,eu_mission_tech,https://karma.life,,
ShareTheMeal,eu_mission_tech,https://sharethemeal.org,,
Better Cotton,eu_mission_tech,https://bettercotton.org,,
Fashion for Good,eu_mission_tech,https://fashionforgood.com,,
Textile Exchange,eu_mission_tech,https://textileexchange.org,,
Canopy,eu_mission_tech,https://canopyplanet.org,,
Preferred by Nature,eu_mission_tech,https://preferredbynature.org,,
Rainforest Alliance,eu_mission_tech,https://www.rainforest-alliance.org,,
Fairtrade International,eu_mission_tech,https://www.fairtrade.net,,
UTZ,eu_mission_tech,https://utz.org,,
GIZ,eu_mission_tech,https://www.giz.de,,
Expertise France,eu_mission_tech,https://www.expertisefrance.fr,,
Enabel,eu_mission_tech,https://www.enabel.be,,
SIDA,eu_mission_tech,https://www.sida.se,,
Norad,eu_mission_tech,https://www.norad.no,,
FCDO,eu_mission_tech,https://www.gov.uk/fcdo,,
British Council,eu_mission_tech,https://www.britishcouncil.org,,
British Red Cross,eu_mission_tech,https://www.redcross.org.uk,,
Danish Refugee Council,eu_mission_tech,https://drc.ngo,,
Norwegian Refugee Council,eu_mission_tech,https://www.nrc.no,,
IRC,eu_mission_tech,https://www.rescue.org,,
Save the Children,eu_mission_tech,https://www.savethechildren.net,,
Oxfam,eu_mission_tech,https://www.oxfam.org,,
Médecins Sans Frontières,eu_mission_tech,https://www.msf.org,,
MSF,eu_mission_tech,https://www.msf.org,,
ICRC,eu_mission_tech,https://www.icrc.org,,
IFRC,eu_mission_tech,https://www.ifrc.org,,
UNHCR,eu_mission_tech,https://www.unhcr.org,,
UNICEF,eu_mission_tech,https://www.unicef.org,,
WHO,eu_mission_tech,https://www.who.int,,
UNESCO,eu_mission_tech,https://www.unesco.org,,
OECD,eu_mission_tech,https://www.oecd.org,,
European Environment Agency,eu_mission_tech,https://www.eea.europa.eu,,
EEA,eu_mission_tech,https://www.eea.europa.eu,,
Eurostat,eu_mission_tech,https://ec.europa.eu/eurostat,,
Joint Research Centre,eu_mission_tech,https://joint-research-centre.ec.europa.eu,,
CERN,eu_mission_tech,https://home.cern,,
ESA,eu_mission_tech,https://www.esa.int,,
ECMWF,eu_mission_tech,https://www.ecmwf.int,,
EUMETSAT,eu_mission_tech,https://www.eumetsat.int,,
Copernicus,eu_mission_tech,https://www.copernicus.eu,,
Max Planck Society,eu_mission_tech,https://www.mpg.de,,
Alan Turing Institute,eu_mission_tech,https://www.turing.ac.uk,,
The Alan Turing Institute,eu_mission_tech,https://www.turing.ac.uk,,
Wellcome Trust,eu_mission_tech,https://wellcome.org,,
Wellcome Sanger Institute,eu_mission_tech,https://www.sanger.ac.uk,,
Francis Crick Institute,eu_mission_tech,https://www.crick.ac.uk,,
EMBL,eu_mission_tech,https://www.embl.org,,
EMBL-EBI,eu_mission_tech,https://www.ebi.ac.uk,,
Institut Pasteur,eu_mission_tech,https://www.pasteur.fr,,
Charité,eu_mission_tech,https://www.charite.de,,
Karolinska Institutet,eu_mission_tech,https://ki.se,,
Giving What We Can,eu_mission_tech,https://www.givingwhatwecan.org,,
80,000 Hours,eu_mission_tech,https://80000hours.org,,
Centre for Effective Altruism,eu_mission_tech,https://www.centreforeffectivealtruism.org,,
Open Philanthropy,eu_mission_tech,https://www.openphilanthropy.org,,
Coefficient Giving,eu_mission_tech,https://www.coefficientgiving.org,,
Founders Pledge,eu_mission_tech,https://www.founderspledge.com,,
Animal Charity Evaluators,eu_mission_tech,https://animalcharityevaluators.org,,
The Humane League,eu_mission_tech,https://thehumaneleague.org,,
Mercy For Animals,eu_mission_tech,https://mercyforanimals.org,,
ProVeg International,eu_mission_tech,https://proveg.com,,
Albert Schweitzer Foundation,eu_mission_tech,https://albertschweitzerfoundation.org,,
Anima International,eu_mission_tech,https://animainternational.org,,
Effective Altruism Foundation,eu_mission_tech,https://ea-foundation.org,,
Rethink Priorities,eu_mission_tech,https://rethinkpriorities.org,,
Charity Entrepreneurship,eu_mission_tech,https://www.charityentrepreneurship.com,,
Ambition Impact,eu_mission_tech,https://www.ambitionimpact.org,,
ImpactPool,eu_mission_tech,https://www.impactpool.org,,
Devex,eu_mission_tech,https://www.devex.com,,
Relief International,eu_mission_tech,https://www.ri.org,,
Catholic Relief Services,eu_mission_tech,https://www.crs.org,,
CARE International,eu_mission_tech,https://www.care-international.org,,
Plan International,eu_mission_tech,https://plan-international.org,,
World Vision,eu_mission_tech,https://www.worldvision.org,,
ActionAid,eu_mission_tech,https://www.actionaid.org,,
Christian Aid,eu_mission_tech,https://www.christianaid.org.uk,,
Trocaire,eu_mission_tech,https://www.trocaire.org,,
Concern Worldwide,eu_mission_tech,https://www.concern.net,,
Goal Global,eu_mission_tech,https://www.goalglobal.org,,
Sightsavers,eu_mission_tech,https://www.sightsavers.org,,
Malaria Consortium,eu_mission_tech,https://www.malariaconsortium.org,,
Against Malaria Foundation,eu_mission_tech,https://www.againstmalaria.com,,
Evidence Action,eu_mission_tech,https://www.evidenceaction.org,,
GiveWell,eu_mission_tech,https://www.givewell.org,,
Innovations for Poverty Action,eu_mission_tech,https://poverty-action.org,,
J-PAL,eu_mission_tech,https://www.povertyactionlab.org,,
